Carrier	VAT	VAT_Suggestion	Format	Checksum	Registered	Name	Address	Country
EST Contracts BV - Istanbul branch	NL866889899B01					No registered corrections found		
EST Poland sp. z o.o. - branch 1	NL811514274B01					No registered corrections found		
H. Essers Transport Company Nederland BV	NL002837110B01					No registered corrections found		
Tradecor s.r.l.	IT00160120266	IT05160120266	Valid	Pass	Yes	GERMANCARS SRL	VIA JACOPO MONICO 2 , 31033 CASTELFRANCO VENETO TV	IT
Tradecor s.r.l.	IT00160120266	IT00160120226	Valid	Pass	Yes	ADN S.R.L. IN LIQUIDAZIONE	VIA BARTOLOMEO MALFATTI 7 , 38122 TRENTO TN	IT
Geodis Logistics Netherlands B.V.	NL003871678B01					No registered corrections found		
WEC Lines	NL007138015B01					No registered corrections found		
P&O Ferrymasters Ltd.	NL809172811B01					No registered corrections found		
Uber Freight B.V.	NL859288961B01					No registered corrections found		
sennder Benelux B.V._TC	NL859288961B01					No registered corrections found		
